,predict,relation
16000,PersonX lets go of the tiger's tail.,xReact
16001,PersonX takes up PersonY's cross to help PersonY.,xWant
16002,PersonX pays PersonY tax == PersonY rewards PersonX.,xAttr
16003,PersonX feels satisfied after learning valuable skills.,xWant
16004,PersonX goes skydiving.,xAttr
16005,PersonX takes a stranger out to eat.,xAttr
16006,PersonX introduces themselves to PersonY's friends.,xIntent
16007,"""PersonY's enemy dies""",oEffect
16008,PersonX bakes cookies to thank the store for their help.,oWant
16009,PersonX ruins PersonY's day == PersonY is upset.,oWant
16010,PersonY feels cozy and comfortable under the blanket.,oEffect
16011,PersonX practices basketball daily to improve their skills.,xWant
16012,PersonY feels proud.,xReact
16013,PersonX enjoys a delicious meal.,xReact
16014,PersonX sets up an appointment with PersonY's doctor.,xWant
16015,,xAttr
16016,PersonX enjoys the warmth of the fire.,xReact
16017,PersonX sends PersonY a text message.,oEffect
16018,PersonX yells at PersonY.,xWant
16019,PersonX hires on the spot == Employee gets excited opportunity to work immediately.,xEffect
16020,PersonX finds the missing keys.,xReact
16021,PersonX receives a late payment notice.,xAttr
16022,PersonX really enjoyed relaxing with a glass of wine and some delicious snacks.,xNeed
16023,PersonY sits in the hair salon chair.,xIntent
16024,PersonX realizes the project is not feasible.,xIntent
16025,PersonX talks to friends on the bus.,xEffect
16026,PersonX gets sick to receive attention from others.,xNeed
16027,PersonX gets stuck == PersonX feels scared and trapped.,xAttr
16028,PersonX gives PersonY a gift.,xAttr
16029,PersonX fails the test again.,xEffect
16030,PersonX finds out that PersonY is healthy.,oWant
16031,PersonX picks out clothes.,xNeed
16032,PersonY feels grateful.,oReact
16033,PersonX receives praise for his work.,xEffect
16034,PersonX gets a good grade.,oReact
16035,PersonX eats the food.,xWant
16036,PersonX gives a concise presentation.,xAttr
16037,PersonX watches television anyway.,xIntent
16038,PersonX accidentally dropped their phone.,xAttr
16039,PersonX drives to the store to buy groceries.,xAttr
16040,PersonX rides down the hill.,xNeed
16041,PersonX sends the photo to PersonY.,xReact
16042,PersonX identifies a security vulnerability.,xIntent
16043,PersonX re-evaluates the situation.,xWant
16044,PersonX spends quality time with their father.,oReact
16045,PersonX starts cooking a meal.,xAttr
16046,"PersonX walks slowly, enjoying the scenery.",xEffect
16047,PersonX clarifies PersonY's concerns.,xNeed
16048,Give him a treat.,xWant
16049,PersonX's best friend congratulates PersonX.,oReact
16050,PersonX is granting more freedom.,xWant
16051,PersonX wants to go home and relax.,oReact
16052,PersonX confesses their love to PersonY.,xNeed
16053,PersonX pays a lawyer to get off the hook.,xIntent
16054,PersonX smiles and continues playing the game.,xReact
16055,PersonX makes a cup of tea.,xReact
16056,PersonX makes sure PersonY safely lands on the ground.,oEffect
16057,PersonX makes a huge mess == creates chaos in the room.,xAttr
16058,PersonX offers PersonY advice.,xAttr
16059,PersonX graduates from high school to increase their chances of finding a job.,xIntent
16060,Person X meets Person X's boyfriend == to go on a blind date.,xNeed
16061,PersonX reads the paper and gives it to the teacher.,oWant
16062,PersonY feels grateful.,oReact
16063,"PersonX holds the trophy in position, satisfied that he has made a positive contribution.",xReact
16064,PersonX wants to adopt the cat.,xEffect
16065,PersonX cries in pain.,xNeed
16066,PersonX asserts their authority over PersonY.,xWant
16067,PersonX leaves a generous tip for the servers.,xWant
16068,PersonX wants PersonX's friends to go skydiving with them.,xAttr
16069,PersonX makes a decision to quit their job.,xIntent
16070,PersonX works overtime every day.,xIntent
16071,PersonY drives PersonX home.,oWant
16072,PersonX releases a new album.,xReact
16073,PersonX assists PersonY with their work.,xReact
16074,PersonX likes fish best.,xAttr
16075,PersonX carefully removed makeup.,xEffect
16076,PersonX talks to PersonY's grandmother.,xEffect
16077,PersonX finds a nugget of gold.,xIntent
16078,PersonX grabs PersonX's chest to emphasize the pain.,xIntent
16079,PersonY thanks PersonX.,xIntent
16080,PersonX proudly shows off their gap-toothed smile.,xAttr
16081,"PersonX changes jobs often == PersonX should break the habit by staying at a job, build a good reputation with their current job.",xWant
16082,PersonX gasps in shock.,xEffect
16083,PersonX punches above PersonX's weight == PersonX wins the boxing match.,xEffect
16084,PersonX gets PersonY pregnant.,oEffect
16085,PersonX prepares dinner for PersonX's mother.,xEffect
16086,PersonX loves cooking for PersonY's sake.,oReact
16087,PersonX writes in a field diary.,xEffect
16088,PersonX feels refreshed.,xReact
16089,PersonX leaves.,oWant
16090,PersonX helps PersonY open the door.,xAttr
16091,PersonX starts training every day.,xReact
16092,PersonX sees a long line.,xWant
16093,PersonX goes to great lengths to make everyone feel comfortable.,xAttr
16094,PersonX reads the message.,xAttr
16095,PersonX gains knowledge about nature.,xEffect
16096,PersonX goes to the grocery store to buy ingredients for a dinner party.,xWant
16097,PersonX is kind to others.,xEffect
16098,PersonY feels ashamed and apologizes.,oReact
16099,PersonX finishes their tasks.,xEffect
16100,PersonX cooks a delicious meal for PersonX's family.,xIntent
16101,PersonX supports every cause.,xEffect
16102,PersonX discovers they have a broken leg.,xWant
16103,PersonX receives a thank you note.,xReact
16104,PersonX pushes PersonY into the pool.,xAttr
